Annotation,word,definitions,A1,A2,M-T,precission_definitions_mean,ic_precission_definitions_mean,familiarity_definitions_mean,imageability_definitions_mean,concreteness_definitions_mean,physicality_definitions_mean,nb17_cosines_definitions_mean,w2v_cosines_definitions_mean
guided,stab,stab or pierce,0,,1,5.5,0,548,3.61,3.9,3.31,0.4238628149,0.3048886061
guided,stab,poke or thrust abruptly,0,0,0,3.5,8.68,532,3.88,3.29,2.34,0.3453089533,0.2236187545
guided,stewed,be in a huff; be silent or sullen,0,0,0,4,0,501.25,4.99,3.15,2.28,0.05399155182,0.1727809856
guided,stewed,bear a grudge; harbor ill feelings,0,0,0,4.17,5.94,520.5,4.57,3.3,2.2,0.02922420315,0.1153022461
guided,stewed,cook slowly and for a long time in liquid,1,1,1,3.86,4.08,491.8,4.75,3.68,3.3,0.1217261478,0.150500989
guided,stewed,cooked in hot water,0,0,1,3.5,,536.33,4.62,4.66,3.28,0.3450941443,0.2596736016
guided,survived,continue to live through hardship or adversity,1,1,1,4,3.42,506.25,5.74,2.29,3.05,0.2557007521,0.1462786496
guided,survived,continue in existence after,0,0,,3,0,548.5,5.26,1.95,3.3,0.2308381498,0.1100730076
guided,survived,support oneself,0,0,0,2,0,427,4.22,3.16,2.9,0.07258856669,0.058784144
guided,survived,live longer than,0,1,1,0,0,404,6.03,3.16,1.86,0.2649948746,0.1303495131
guided,tackle,the person who plays that position on a football team,0,0,1,5.5,0.39,433.5,4.48,3.96,3.31,0.2099371955,0.1586748276
guided,tackle,gear consisting of ropes etc. supporting a ship's masts and sail...,1,1,1,6.12,2.41,548,4.76,3.89,3.27,0.129211789,0.09914638335
guided,tackle,gear used in fishing,0,1,1,5.5,1.35,575.33,4.34,3.74,3.07,0.2014680331,0.116192662
guided,tackle,,,0,1,,,,,,,,
guided,tackle,,,0,1,,,,,,,,
guided,tackle,accept as a challenge,0,0,0,6.25,0,322,4.16,2.57,3.23,0.1390623264,0.199659653
guided,tackle,put a harness,0,0,1,4.33,5.81,416,3.02,3.32,1.79,0.1823391169,0.190674752
guided,tackle,"seize and throw down an opponent player, who usually carries the...",0,1,1,4.1,0,505,5.82,3.82,3.24,0.2017504397,0.1662148328
guided,target,a reference point to shoot at,0,1,1,5.6,0.4,529.67,5.13,3.25,1.85,0.2567110062,0.2093374978
guided,target,a person who is the aim of an attack,0,1,0,6.29,0.27,477.67,5.46,3.9,4.11,0.2947942472,0.2302609558
guided,target,the location of the target that is to be hit,0,0,1,2,0,526.33,4.32,3.74,3.12,0.2885517851,0.2234176397
guided,target,sports equipment consisting of an object set up for a marksman o...,1,1,1,5.23,1.58,516.86,5.21,3.86,2.99,0.2551200162,0.1693249957
guided,target,the goal intended to be attained,0,0,0,3.25,5.74,451,4.23,2.46,2.45,0.3690121025,0.2825782547
guided,target,intend,0,0,,7,0,295,5.91,1.71,3.64,0.1966390163,0.1688514799
guided,tick,a metallic tapping sound,1,1,1,6.25,0.3,453,5.07,4.04,3.1,0.1297252029,0.09717049698
guided,tick,any of two families of small parasitic arachnids with barbed pro...,1,1,1,3.15,3.76,495.82,4.62,3.96,3.11,0.09692257009,0.1217616858
guided,tick,a mark indicating that something has been noted or completed etc...,1,1,1,3.62,0.87,441.57,5.24,3.06,3.18,0.08328200613,0.1320974048
guided,tick,a light mattress,0,1,1,8,4.44,553.5,4.18,4.61,3.21,-0.02986357734,0.05502403062
guided,tick,make a clicking or ticking sound,0,0,1,4,7.47,458,5.01,3.45,2.85,0.2962249636,0.2528374754
guided,tick,make a sound like a clock or a timer,0,1,1,5.89,1.62,444.6,5.17,3.59,2.37,0.1887944883,0.1802419245
guided,tick,sew,0,0,1,4,0,440,4,3.93,2.7,0.07538121194,0.1803544611
guided,tick,put a check mark on or near or next to,0,1,1,4.22,8.81,497.8,4.5,3.23,2.85,0.1067752399,0.1763487741
guided,traded,engage in the trade of,0,1,1,0.33,3.76,478.5,6.04,2.58,2.71,0.4033874255,0.2920629121
guided,traded,turn in as payment or part payment for a purchase,1,0,1,6.67,,460.6,4.22,3.5,3.07,0.1164726305,0.1026072681
guided,traded,be traded at a certain price or under certain conditions,0,0,1,3.44,0,483,3.34,2.28,3.03,0.1146927709,0.1620000587
guided,traded,exchange or give,0,1,1,4.67,0,400,2.74,2.78,2.7,0.3487942778,0.258254122
guided,traded,do business; offer for sale as for one's livelihood,0,0,1,4,0,475.43,5.51,3.05,2.92,0.1846210778,0.1163040783
guided,whipped,beat severely with a whip or rod,1,1,1,4.33,4.57,529.25,4.83,3.71,2.85,0.3386761118,0.2722203461
guided,whipped,defeat thoroughly,0,0,0,3.5,0,330.5,5.09,2.58,2.61,0.1511452273,0.1569430605
guided,whipped,thrash about flexibly in the manner of a whiplash,0,0,0,4.71,0,497.75,5.47,2.89,3.08,0.1646656815,0.121070656
guided,whipped,strike as if by whipping,0,0,0,1,5.38,538.5,5.13,3.98,2.61,0.4278439954,0.4062199555
guided,whipped,whip with or as if with a wire whisk,0,1,0,5.33,8.36,450.67,6.61,4.58,2.32,0.3986131304,0.3210912173
guided,whipped,subject to harsh criticism,0,0,0,2.33,0,564.33,4.42,2.48,3.47,0.03933105618,0.102195741
guided,windows,a framework of wood or metal that contains a glass windowpane an...,1,1,1,6.37,1.73,486.58,4.42,4.22,3.22,0.2022892623,0.2290790413
guided,windows,a transparent opening in a vehicle that allow vision out of the ...,0,1,1,3.82,1.9,514.91,4.73,3.3,2.98,0.1064138396,0.1022270663
guided,windows,a transparent panel,0,0,0,5.67,1.55,489,4.29,3.72,2.89,0.2103360817,0.1425967291
guided,windows,an opening that resembles a window in appearance or function,0,0,0,6.56,2.28,468.8,4.84,3.28,2.95,0.1896546647,0.1892308136
guided,windows,the time period that is considered best for starting or finishin...,0,0,0,3.38,1.1,431.29,5.73,2.32,3.86,0.01221921937,0.02547519777
guided,windows,a pane of glass in a window,0,1,1,7.83,3.27,505.67,6.08,4.51,4.19,0.5451782048,0.5636984805
guided,windows,an opening in a wall or screen that admits light and air and thr...,0,0,1,5.67,1.07,489.57,4.61,4.31,2.32,0.1361020873,0.1375416169
guided,windows,,,0,0,,,,,,,,
guided,wired,provide with electrical circuits,1,0,1,4,5.16,609.5,2.7,3.06,3.66,0.2186048279,0.195909818
guided,wired,"send cables, wires, or telegrams",0,1,1,4.6,6.84,542.25,5.95,3.71,3.54,0.3628803361,0.2089453358
guided,wired,fasten with wire,0,1,1,2,5.33,481.5,6.81,4.43,2.45,0.3775383979,0.2426309958
guided,wired,string on a wire,0,1,1,4.5,5.33,541.5,5.79,4.74,3.11,0.3564572781,0.1787338508
guided,wired,equip for use with electricity,0,0,1,3,0,543,5.28,3.16,2.7,0.1891529535,0.2153443694
guided,wired,equipped with wire or wires especially for electric or telephone...,0,1,1,4,,474.57,4.88,3.58,2.69,0.3237281766,0.2488016092
guided,wired,tense with excitement and enthusiasm as from a rush of adrenalin...,0,0,0,6.71,,511.2,4.62,2.62,2.79,0.08450890677,0.06184183918
guided,wired,tied or bound with wire,0,1,1,3.75,,472.67,5.98,4.02,2.17,0.3902629515,0.2354433785
guided,withering,any weakening or degeneration,0,0,0,3,0,471.5,4.68,2.17,4.19,0.3848004192,0.225628227
guided,withering,"wither, as with a loss of moisture",1,1,1,7,10.74,531,5.03,2.99,3.59,0.3602578789,0.2043414339
guided,withering,"lose freshness, vigor, or vitality",0,,0,5.4,0,498,5.46,2.1,3.24,0.1616064236,0.1757817063
guided,withering,wreaking or capable of wreaking complete destruction,0,0,0,4,,502.4,6.07,2.71,3.77,0.1397042911,0.1059961103
guided,withering,making light of; ; ; - W.S.Gilbert,0,0,0,5,,460.29,5.22,3.28,2.16,0.03813297674,0.08232064173
guided,wolf,any of various predatory carnivorous canine mammals of North Ame...,1,1,1,4.08,2.71,493.8,5.28,3.28,3.81,0.1871845927,0.187409201
guided,wolf,a man who is aggressive in making amorous advances to women,0,0,0,4.1,2.03,439.83,4.93,3.34,3.44,0.04019466974,0.1266159893
guided,wolf,a cruelly rapacious person,0,0,0,4,0.4,481.67,5.22,3.21,2.4,0.02468187067,0.1623345961
guided,wolf,eat hastily,0,1,0,0.5,7.52,542,3.9,3.38,4.19,0.07387542352,0.08579432312
guided,won,the basic unit of money in South Korea,1,1,1,4,0.98,488.8,5.16,3.52,3.15,0.06250284488,0.02656279057
guided,won,the basic unit of money in North Korea,,1,1,4,0.98,476.8,4.58,3.52,2.99,0.06250284488,0.02012784481
guided,won,be the winner in a contest or competition; be victorious,1,1,1,4.44,0,499,4.95,3.21,2.68,0.5162515268,0.3958089091
guided,won,win something through one's efforts,0,0,0,1.75,8.73,437.4,4.52,2.7,3.09,0.2043566625,0.2216456914
guided,won,"obtain advantages, such as points, etc.",0,0,1,2.6,0,558.17,5.47,3.2,3.2,0.07790322509,0.08700836264
guided,won,attain success or reach a desired goal,0,0,1,5,0,519.4,4.75,2.62,2.25,0.1271317557,0.1253264636
guided,won,not subject to defeat,0,0,1,2.67,,507,4.85,3.05,2.91,0.2258999441,0.2157881781
guided,wounded,people who are wounded,0,1,1,3.33,2.86,526.5,4.33,4.23,3.32,0.1174301058,0.202296108
guided,wounded,cause injuries or bodily harm to,1,1,1,4.2,3.53,532.5,6.08,2.94,3.44,0.2393727372,0.1349385786
guided,wounded,hurt the feelings of,0,0,0,4,8.47,539,4.55,2.64,2.89,0.3396072984,0.2783978134
guided,wounded,suffering from physical injury especially that suffered in battl...,1,1,1,3.29,,505.5,5.04,3,2.95,0.2223581436,0.1498492518
guided,wrestled,combat to overcome an opposing tendency or force,0,0,0,5,0,515,4.91,2.62,3.02,0.1641732552,0.1147650793
guided,wrestled,"engage in deep thought, consideration, or debate",0,0,0,4.71,1.28,474.71,5.16,2.49,3.5,0.1450999342,0.1524163172
guided,wrestled,"to move in a twisting or contorted motion,",0,0,1,4.43,5.15,533.4,5.02,3.34,3.05,0.04130764585,0.1182147367
guided,wrestled,engage in a wrestling match,1,1,1,4.4,6.66,542.67,5.21,3.53,3.58,0.4139860471,0.328071778
