Annotation	word	definitions	BM_original	Source	VVAA	A1	A2	precission_definitions_mean	ic_precission_definitions_mean	familiarity_definitions_mean	imageability_definitions_mean	concreteness_definitions_mean	physicality_definitions_mean
control	remove	shift the position or location of, as for business, legal, educational, or military purposes	to take something or someone away from a place	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555	0.0	1.0	0.0	5.0		507.92	05.02	2.64	3.43
control	remove	go away or leave	to take something or someone away from a place	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555	0.0	1.0	0.0	2.25	0.0	290.0	3.99	2.64	2.4
control	remove	kill intentionally and with premeditation	to take something or someone away from a place	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555	0.0	1.0	0.0	4.0	0.0	476.0	04.09	2.76	2.28
control	remove	get rid of something abstract	to take something or someone away from a place	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1555	0.0	0.0	0.0	0.67	0.0	499.0	3.49	1.94	3.54
control	code	a set of rules or principles or laws (especially written ones)	a system of words, numbers, or signs used for sending secret messages, a complicated system of rules, relationships, or instructions (the genetic code)	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1556	1.0	1.0	1.0	6.2	0.26	475.38	5.15	2.97	3.41
control	code	a coding system used for transmitting messages requiring brevity or secrecy	a system of words, numbers, or signs used for sending secret messages, a complicated system of rules, relationships, or instructions (the genetic code)	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1556	1.0	1.0	1.0	4.7	0.73	407.0	4.32	2.8	03.05
control	code	(computer science) the symbolic arrangement of data or instructions in a computer program or the set of such instructions	a system of words, numbers, or signs used for sending secret messages, a complicated system of rules, relationships, or instructions (the genetic code)	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1556	0.0	1.0	1.0	5.53	1.65	399.3	05.05	3.48	3.35
control	code	attach a code to	a system of words, numbers, or signs used for sending secret messages, a complicated system of rules, relationships, or instructions (the genetic code)	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1556	0.0	1.0	1.0	4.0	0.0	566.5	3.75	3.16	3.84
control	code	convert ordinary language into code	a system of words, numbers, or signs used for sending secret messages, a complicated system of rules, relationships, or instructions (the genetic code)	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1556	0.0	1.0	1.0	6.0	0.0	531.5	5.21	2.47	3.58
control	infected	communicate a disease to	someone who is infected has a disease that can be spread from one person to another, containing bacteria or other substances that cause disease	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1558	1.0	1.0	1.0	6.0	0.0	432.0	5.16	3.44	4.0
control	infected	contaminate with a disease or microorganism	someone who is infected has a disease that can be spread from one person to another, containing bacteria or other substances that cause disease	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1558	1.0	1.0	1.0	6.8	11.53	500.33	05.04	3.42	3.77
control	infected	corrupt with ideas or an ideology	someone who is infected has a disease that can be spread from one person to another, containing bacteria or other substances that cause disease	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1558	0.0	0.0	0.0	6.6	10.78	523.33	3.86	1.75	2.11
control	infected	affect in a contagious way	someone who is infected has a disease that can be spread from one person to another, containing bacteria or other substances that cause disease	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1558	0.0	1.0	0.0	5.0	0.0	360.67	04.08	2.33	2.91
control	infected	containing or resulting from disease-causing organisms	someone who is infected has a disease that can be spread from one person to another, containing bacteria or other substances that cause disease	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1558	1.0	1.0	1.0	3.75		511.25	5.62	3.14	2.69
control	file	a set of related records (either written or electronic) kept together	a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560	1.0	1.0	1.0	2.5	0.87	516.2	5.0	3.1	3.19
control	file	a line of persons or things ranged one behind the other	a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560	0.0	1.0	0.0	4.22	2.41	438.83	4.83	3.7	3.86
control	file	office furniture consisting of a container for keeping papers in order	a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560	0.0	1.0	0.0	5.56	1.97	474.71	5.22	4.1	3.4
control	file	a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal	a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560	0.0	1.0	0.0	4.56	1.84	519.17	4.1	4.18	2.71
control	file	record in a public office or in a court of law	a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560	0.0	1.0	1.0	6.6		485.6	4.55	3.71	2.39
control	file	smooth with a file	a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560	0.0	1.0	0.0	5.0		512.5	5.21	4.11	2.32
control	file	proceed in line	a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560	0.0	1.0	0.0	3.0	1.85	503.0	3.26	3.52	4.0
control	file	file a formal charge against	a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560	0.0	1.0	0.0	6.67	8.73	525.67	4.97	3.36	2.61
control	file	place in a container for keeping records	a set of papers, documents, or records that you keep because they contain information; line, row, chain, string, column, queue, procession	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1560	0.0	1.0	1.0	5.83	2.88	492.75	5.3	3.67	2.21
control	reconstruct	reassemble mentally	to build something again	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1562	0.0	0.0	0.0	1.0	0.0	522.5	6.47	2.43	2.57
control	reconstruct	build again	to build something again	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1562	1.0	1.0	1.0	0.5	2.94	578.0	6.46	3.71	3.82
control	reconstruct	cause somebody to adapt or reform socially or politically	to build something again	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1562	0.0	0.0	0.0	3.0	0.97	477.0	4.88	2.4	2.52
control	reconstruct	return to its original or usable and functioning condition	to build something again	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1562	0.0	1.0	0.0	4.57	0.0	481.8	5.62	2.3	2.86
control	reconstruct	do over, as of (part of) a house	to build something again	https://ejournals.facultas.at/index.php/fachsprache/article/download/1766/1562	0.0	1.0	1.0	5.0	0.0	361.4	5.84	4.14	3.77
control	harvest	the yield from plants in a single growing season	process of period of gathering in crops.	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	1.0	1.0	1.0	5.86	0.48	532.6	5.0	3.43	2.8
control	harvest	the consequence of an effort or activity	process of period of gathering in crops.	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	0.0	0.0	0.0	7.0	0.98	477.0	4.54	2.56	04.03
control	harvest	the gathering of a ripened crop	process of period of gathering in crops.	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	1.0	1.0	1.0	6.0	3.58	542.33	4.38	3.82	2.55
control	harvest	the season for gathering crops	process of period of gathering in crops.	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	1.0	1.0	0.0	5.0	4.25	514.33	4.58	3.65	3.28
control	harvest	gather, as of natural products	process of period of gathering in crops.	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	1.0	1.0	1.0	5.5		474.25	5.93	2.92	3.58
control	harvest	remove from a culture or a living or dead body, as for the purposes of transplantation	process of period of gathering in crops.	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	0.0	0.0	0.0	6.42	0.0	458.88	5.11	3.15	2.52
control	planting	the act of fixing firmly in place	putting a seed or plant in the ground so that it can grow	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	0.0	1.0	0.0	3.6	1.46	535.25	4.77	2.79	3.24
control	planting	a collection of plants (trees or shrubs or flowers) in a particular area	putting a seed or plant in the ground so that it can grow	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	0.0	1.0	1.0	6.33	0.33	493.43	4.99	3.95	3.88
control	planting	putting seeds or young plants in the ground to grow	putting a seed or plant in the ground so that it can grow	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	0.0	1.0	1.0	3.12	0.0	522.5	4.72	04.09	3.58
control	planting	put or set (seeds, seedlings, or plants) into the ground	putting a seed or plant in the ground so that it can grow	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	1.0	1.0	1.0	4.5	5.8	517.67	5.6	04.03	3.88
control	planting	fix or set securely or deeply	putting a seed or plant in the ground so that it can grow	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	0.0	1.0	0.0	3.67	0.0	558.25	3.79	2.8	03.03
control	planting	set up or lay the groundwork for	putting a seed or plant in the ground so that it can grow	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	0.0	1.0	0.0	4.8	3.25	528.67	5.13	3.36	2.48
control	planting	place into a river	putting a seed or plant in the ground so that it can grow	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	0.0	1.0	0.0	5.33	0.0	497.5	5.56	4.18	3.37
control	planting	place something or someone in a certain position in order to secretly observe or deceive	putting a seed or plant in the ground so that it can grow	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	0.0	0.0	0.0	4.23	2.27	510.89	4.58	2.49	3.48
control	planting	put firmly in the mind	putting a seed or plant in the ground so that it can grow	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	0.0	0.0	0.0	4.0	0.0	502.0	4.57	2.44	3.32
control	elude	escape, either physically or mentally	escape from or avoid	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	1.0	0.0	1.0	2.0	0.0	512.4	4.99	2.39	2.95
control	elude	be incomprehensible to; escape understanding by	escape from or avoid	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	0.0	0.0	0.0	0.6	4.63	568.0	2.78	2.2	3.65
control	elude	avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)	escape from or avoid	http://dx.doi.org/10.6007/IJARBSS/v13-i11/19483	0.0	0.0	0.0	4.58	0.0	482.0	5.27	2.49	3.69
control	pain	a symptom of some physical hurt or disorder	highly unpleasant physical sensation caused by illness or injury; mental suffering or distress	Doi: 10.4025/actascilangcult.v38i4.29503	1.0	1.0	1.0	4.71	1.72	508.75	5.31	3.3	2.58
control	pain	emotional distress; a fundamental feeling that people try to avoid	highly unpleasant physical sensation caused by illness or injury; mental suffering or distress	Doi: 10.4025/actascilangcult.v38i4.29503	0.0	0.0	1.0	3.75	1.44	468.62	05.03	2.48	3.42
control	pain	a somatic sensation of acute discomfort	highly unpleasant physical sensation caused by illness or injury; mental suffering or distress	Doi: 10.4025/actascilangcult.v38i4.29503	0.0	1.0	1.0	7.0	0.6	468.5	3.58	2.36	2.34
control	pain	a bothersome annoying person	highly unpleasant physical sensation caused by illness or injury; mental suffering or distress	Doi: 10.4025/actascilangcult.v38i4.29503	0.0	0.0	0.0	6.0	0.27	539.0	4.96	2.96	2.62
control	pain	something or someone that causes trouble; a source of unhappiness	highly unpleasant physical sensation caused by illness or injury; mental suffering or distress	Doi: 10.4025/actascilangcult.v38i4.29503	0.0	0.0	0.0	6.29	0.55	538.29	4.21	2.45	3.67
control	pain	cause bodily suffering to and make sick or indisposed	highly unpleasant physical sensation caused by illness or injury; mental suffering or distress	Doi: 10.4025/actascilangcult.v38i4.29503	1.0	1.0	1.0	2.57	1.63	476.33	5.99	2.48	2.59
control	pain	cause emotional anguish or make miserable	highly unpleasant physical sensation caused by illness or injury; mental suffering or distress	Doi: 10.4025/actascilangcult.v38i4.29503	0.0	0.0	1.0	2.17	4.68	501.0	5.3	2.29	2.62
control	harness	a support consisting of an arrangement of straps for holding something to the body (especially one supporting a person suspended from a parachute)	to put a harness on a horse or other draught anima	oai:DiVA.org:su-171437	0.0	1.0	1.0	5.31	01.07	496.29	05.07	3.18	3.62
control	harness	stable gear consisting of an arrangement of leather straps fitted to a draft animal so that it can be attached to and pull a cart	to put a harness on a horse or other draught anima	oai:DiVA.org:su-171437	1.0	1.0	1.0	5.37	1.39	462.18	4.87	3.78	2.93
control	harness	put a harness	to put a harness on a horse or other draught anima	oai:DiVA.org:su-171437	1.0	1.0	1.0	5.5	0.0	551.0	5.22	3.32	2.35
control	harness	exploit the power of	to put a harness on a horse or other draught anima	oai:DiVA.org:su-171437	0.0	0.0	0.0	2.0	4.74	420.5	5.74	1.86	3.23
control	harness	control and direct with or as if by reins	to put a harness on a horse or other draught anima	oai:DiVA.org:su-171437	0.0	1.0	0.0	3.0	5.71	597.0	06.08	02.04	3.67
control	harness	keep in check	to put a harness on a horse or other draught anima	oai:DiVA.org:su-171437	0.0	0.0	0.0	4.33	1,00E+300	500.0	3.94	3.24	3.0
control	impact	the striking of one body against another	the force with which one object hits another.	https://doi.org/10.1515/ijdlg-2024-0016	1.0	1.0	1.0	4.0	01.02	467.5	4.85	3.58	2.7
control	impact	a forceful consequence; a strong effect	the force with which one object hits another.	https://doi.org/10.1515/ijdlg-2024-0016	0.0	0.0	0.0	5.17	02.06	486.2	4.96	2.41	04.04
control	impact	influencing strongly	the force with which one object hits another.	https://doi.org/10.1515/ijdlg-2024-0016	0.0	0.0	0.0	1.0		559.5	3.43	2.39	2.57
control	impact	the violent interaction of individuals or groups entering into combat	the force with which one object hits another.	https://doi.org/10.1515/ijdlg-2024-0016	0.0	1.0	0.0	5.0	2.13	475.0	5.35	3.44	2.97
control	impact	press or wedge together; pack together	the force with which one object hits another.	https://doi.org/10.1515/ijdlg-2024-0016	0.0	1.0	1.0	2.67	2.76	478.33	4.36	3.52	3.49
control	impact	have an effect upon	the force with which one object hits another.	https://doi.org/10.1515/ijdlg-2024-0016	0.0	0.0	0.0	4.33	0.0	540.5	5.43	2.32	2.9
control	comply	act in accordance with someone's rules, commands, or wishes	to obey a rule or law, or to do what someone asks you to do, which in the context of war refers to the relationship between a commander and subordinates, or between the military and captives	https://doi.org/10.1515/ijdlg-2024-0016	1.0	0.0	1.0	3.88	0.0	496.0	4.61	2.41	3.41
control	interact	act together or towards others or with others	if two or more people interact, or if one person interacts with another, they communicate with one another and react to one another, often while performing an activity together, meaning that both parties involved in the interaction are natural persons	https://doi.org/10.1515/ijdlg-2024-0016	1.0	1.0	1.0	4.75	0.0	498.6	4.17	2.66	2.61
control	robust	sturdy and strong in form, constitution, or construction	..a robust person. who is strong and healthy	https://doi.org/10.1515/ijdlg-2024-0016	1.0	1.0	1.0	4.71		467.29	5.48	3.22	3.46
control	robust	marked by richness and fullness of flavor	..a robust person. who is strong and healthy	https://doi.org/10.1515/ijdlg-2024-0016	0.0	1.0	0.0	4.0		371.0	4.8	03.01	3.12
control	robust	strong enough to withstand or overcome intellectual challenges or adversity	..a robust person. who is strong and healthy	https://doi.org/10.1515/ijdlg-2024-0016	0.0	0.0	0.0	4.33		434.83	4.49	02.04	3.42
control	robust	rough and crude	..a robust person. who is strong and healthy	https://doi.org/10.1515/ijdlg-2024-0016	0.0	1.0	1.0	0.0		469.5	6.66	2.9	3.87
control	resilience	the physical property of a material that can return to its original shape or position after deformation that does not exceed its elastic limit	someone.s ability to become healthy, happy, or strong again after an illness, disappointment, or other problem.	https://doi.org/10.1515/ijdlg-2024-0016		1.0	1.0	4.53	0.54	537.09	4.87	3.0	2.67
control	resilience	an occurrence of rebounding or springing back	someone.s ability to become healthy, happy, or strong again after an illness, disappointment, or other problem.	https://doi.org/10.1515/ijdlg-2024-0016		0.0	1.0	5.17	0.4	509.5	5.11	3.5	3.52
control	far	a terrorist organization that seeks to overthrow the government dominated by Tutsi and to institute Hutu control again	far used to talk about distance	ISSN:.1860-7349,.1860-7330	0.0	1.0	0.0	5.46	0.97	465.22	4.87	2.77	2.84
control	far	located at a great distance in time or space or degree	far used to talk about distance	ISSN:.1860-7349,.1860-7330	1.0	0.0	0.0	5.27		503.83	5.29	2.92	3.54
control	far	being of a considerable distance or length	far used to talk about distance	ISSN:.1860-7349,.1860-7330	1.0	1.0	1.0	3.67		446.67	4.38	3.13	2.4
control	far	being the animal or vehicle on the right or being on the right side of an animal or vehicle	far used to talk about distance	ISSN:.1860-7349,.1860-7330	0.0	0.0	0.0	3.27		471.57	3.9	4.16	2.34
control	far	beyond a norm in opinion or actions	far used to talk about distance	ISSN:.1860-7349,.1860-7330	0.0	0.0	0.0	5.57		480.0	3.92	2.15	2.73
control	far	to a considerable degree; very much	far used to talk about distance	ISSN:.1860-7349,.1860-7330	0.0	0.0	0.0	2.4		522.5	4.3	2.28	3.57
control	far	at or to or from a great distance in space	far used to talk about distance	ISSN:.1860-7349,.1860-7330	1.0	1.0	1.0	6.12		483.33	5.39	2.84	3.52
control	far	at or to a certain point or degree	far used to talk about distance	ISSN:.1860-7349,.1860-7330	0.0	0.0	0.0	6.43		478.33	3.67	2.69	3.78
control	far	remote in time	far used to talk about distance	ISSN:.1860-7349,.1860-7330	0.0	0.0	0.0	4.33		578.5	4.93	3.26	3.81
control	far	to an advanced stage or point	far used to talk about distance	ISSN:.1860-7349,.1860-7330	0.0	0.0	0.0	6.4		497.67	4.13	3.29	2.83
control	build	constitution of the human body	to make something by putting bricks or other materials togethe	https://doi.org/10.35516/hum.v49i5.3468	0.0	1.0	0.0	6.33	0.3	517.33	5.74	4.32	3.93
control	build	alternative names for the body of a human being	to make something by putting bricks or other materials togethe	https://doi.org/10.35516/hum.v49i5.3468	0.0	1.0	0.0	4.83	0.78	480.25	5.38	3.92	3.16
control	build	make by combining materials and parts	to make something by putting bricks or other materials togethe	https://doi.org/10.35516/hum.v49i5.3468	1.0	1.0	1.0	3.8	6.63	383.0	5.72	3.34	2.84
control	build	form or accumulate steadily	to make something by putting bricks or other materials togethe	https://doi.org/10.35516/hum.v49i5.3468	0.0	0.0	0.0	3.25	0.0	490.0	3.68	2.83	3.18
control	build	build or establish something abstract	to make something by putting bricks or other materials togethe	https://doi.org/10.35516/hum.v49i5.3468	0.0	0.0	0.0	3.33	8.41	521.0	4.85	2.24	3.33
control	build	order, supervise, or finance the construction of	to make something by putting bricks or other materials togethe	https://doi.org/10.35516/hum.v49i5.3468	0.0	0.0	1.0	6.6	8.67	525.83	5.79	03.09	3.59
control	build	give form to, according to a plan	to make something by putting bricks or other materials togethe	https://doi.org/10.35516/hum.v49i5.3468	0.0	1.0	0.0	2.6	0.0	500.4	4.79	2.75	3.36
control	build	be engaged in building	to make something by putting bricks or other materials togethe	https://doi.org/10.35516/hum.v49i5.3468	0.0	1.0	1.0	2.25	3.81	493.5	5.63	3.5	2.71
control	build	found or ground	to make something by putting bricks or other materials togethe	https://doi.org/10.35516/hum.v49i5.3468	0.0	0.0	0.0	3.67	0.0	477.5	4.58	3.65	4.29
control	build	bolster or strengthen	to make something by putting bricks or other materials togethe	https://doi.org/10.35516/hum.v49i5.3468	0.0	0.0	0.0	4.0	1.46	538.5	05.03	2.19	2.14
control	build	develop and grow	to make something by putting bricks or other materials togethe	https://doi.org/10.35516/hum.v49i5.3468	0.0	0.0	0.0	3.0	2.65	542.0	4.82	2.45	3.13
control	duck	small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs	any of various small aquatic birds of the family Anatidae, typically having short legs, webbed feet, and a broad blunt bill: order anseriformes.	DOI: 10.13189/lls.2016.040508	1.0	1.0	1.0	4.5	0.7	474.17	05.06	3.52	03.09
control	duck	(cricket) a score of nothing by a batsman	any of various small aquatic birds of the family Anatidae, typically having short legs, webbed feet, and a broad blunt bill: order anseriformes.	DOI: 10.13189/lls.2016.040508	0.0	1.0	0.0	6.14	0.9	535.17	5.57	3.45	04.02
control	duck	flesh of a duck (domestic or wild)	any of various small aquatic birds of the family Anatidae, typically having short legs, webbed feet, and a broad blunt bill: order anseriformes.	DOI: 10.13189/lls.2016.040508	0.0	1.0	0.0	4.8	1.65	497.5	05.02	3.61	3.48
control	duck	a heavy cotton fabric of plain weave; used for clothing and tents	any of various small aquatic birds of the family Anatidae, typically having short legs, webbed feet, and a broad blunt bill: order anseriformes.	DOI: 10.13189/lls.2016.040508	0.0	1.0	0.0	4.11	1.35	455.75	4.82	3.79	3.21
control	duck	to move (the head or body) quickly downwards or away	any of various small aquatic birds of the family Anatidae, typically having short legs, webbed feet, and a broad blunt bill: order anseriformes.	DOI: 10.13189/lls.2016.040508	0.0	1.0	0.0	3.12	0.0	393.62	4.89	3.48	2.78
control	duck	submerge or plunge suddenly	any of various small aquatic birds of the family Anatidae, typically having short legs, webbed feet, and a broad blunt bill: order anseriformes.	DOI: 10.13189/lls.2016.040508	0.0	1.0	0.0	3.5	1.85	502.0	5.61	2.76	3.35
control	duck	dip into a liquid	any of various small aquatic birds of the family Anatidae, typically having short legs, webbed feet, and a broad blunt bill: order anseriformes.	DOI: 10.13189/lls.2016.040508	0.0	1.0	0.0	4.0	0.0	406.0	3.66	4.47	2.9
control	duck	avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)	any of various small aquatic birds of the family Anatidae, typically having short legs, webbed feet, and a broad blunt bill: order anseriformes.	DOI: 10.13189/lls.2016.040508	0.0	0.0	0.0	4.58	0.0	482.0	5.27	2.49	3.69
guided	mark	a number or letter indicating quality (especially of a student's performance)	a printed or written symbol that is not a letter or a number, to leave a mark on a surface by pressing an object onto it	https://doi.org/10.1075/msw.22016.sme	0.0	1.0	1.0	6.0	0.4	511.1	5.41	3.24	3.32
guided	mark	a distinguishing symbol	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0	1.0	5.33	2.67	437.0	4.9	2.43	2.1
guided	mark	a reference point to shoot at	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0	1.0	5.6	0.4	513.33	4.42	3.25	2.59
guided	mark	a visible indication made on a surface	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0	1.0	4.14	0.6	507.75	4.91	2.96	3.34
guided	mark	the impression created by doing something unusual or extraordinary that people notice and remember	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	0.0	0.0	2.1	0.4	472.25	4.61	2.7	2.8
guided	mark	a symbol of disgrace or infamy; --Genesis	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0	0.0	7.0	1.43	524.17	4.12	2.32	3.0
guided	mark	formerly the basic unit of money in Germany	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0	1.0	4.0	1.22	490.6	4.39	3.12	03.08
guided	mark	Apostle and companion of Saint Peter; assumed to be the author of the second Gospel	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0	1.0	4.56	5.26	448.78	4.68	3.29	3.49
guided	mark	a person who is gullible and easy to take advantage of	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	0.0	0.0	4.62	0.27	514.6	5.29	2.73	3.25
guided	mark	a written or printed symbol (as for punctuation)	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	1.0	1.0	1.0	5.43	01.07	502.0	5.92	3.73	3.55
guided	mark	a perceptible indication of something not immediately apparent (as a visible clue that something has happened)	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0	0.0	3.58	1.75	497.36	4.6	2.21	3.83
guided	mark	the shortest of the four Gospels in the New Testament	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0	1.0	3.33	4.38	501.4	04.02	3.37	2.69
guided	mark	an indication of damage	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0		7.33	0.6	487.0	4.29	2.58	3.23
guided	mark	a marking that consists of lines that cross each other	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0	1.0	4.86	2.84	402.75	4.6	4.24	3.48
guided	mark	something that exactly succeeds in achieving its goal	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	0.0	0.0	3.83	0.73	453.2	4.64	2.33	3.54
guided	mark	attach a tag or label to	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0	1.0	4.2	4.74	537.67	3.95	04.01	2.8
guided	mark	designate as if by a mark	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	0.0	0.0	4.75	3.35	560.0	05.07	3.68	2.18
guided	mark	be a distinctive feature, attribute, or trait; sometimes in a very positive sense	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	0.0	0.0	4.46	0.0	459.2	4.85	2.35	3.88
guided	mark	mark by some ceremony or observation	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	0.0	1.0	4.2		514.67	5.88	3.3	2.9
guided	mark	make or leave a mark on	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0	1.0	4.6	0.0	494.33	6.57	3.14	2.25
guided	mark	to accuse or condemn or openly or formally or brand as disgraceful	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	0.0	0.0	4.36	03.06	403.67	4.64	2.14	2.76
guided	mark	notice or perceive	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	0.0	0.0	3.33	4.14	537.0	5.92	2.51	3.17
guided	mark	mark with a scar	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0	1.0	7.0	9.13	539.0	6.26	4.47	1.9
guided	mark	make small marks into the surface of	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0	1.0	6.0	04.01	486.75	5.78	3.59	2.83
guided	mark	establish as the highest level or best performance	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	0.0		3.71	0.0	537.6	5.62	2.44	2.72
guided	mark	make underscoring marks	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0		5.0	2.97	526.33	5.66	3.44	2.8
guided	mark	remove from a list	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0		4.67	0.0	411.0	6.13	3.78	2.91
guided	mark	put a check mark on or near or next to	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0		4.5	8.81	551.2	5.74	3.23	3.0
guided	mark	assign a grade or rank to, according to one's evaluation	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0		3.5	4.28	516.75	5.15	2.89	3.23
guided	mark	insert punctuation marks into	a printed or written symbol that is not a letter or a number	https://doi.org/10.1075/msw.22016.sme	0.0	1.0		4.67	4.57	555.0	5.8	3.51	3.21
guided	great	a person who has achieved distinction and honor in some field	physical size of something or someone	DOI:10.17227/01234870.32FOLIOS125.140	0.0	0.0	0.0	4.9	0.23	495.0	5.45	3.18	3.44
guided	great	relatively large in size or number or extent; larger than others of its kind	physical size of something or someone	DOI:10.17227/01234870.32FOLIOS125.140	1.0	1.0	1.0	3.82		528.0	05.04	2.46	3.44
guided	great	of major significance or importance	physical size of something or someone	DOI:10.17227/01234870.32FOLIOS125.140	0.0	0.0	0.0	5.5		528.67	4.7	1.86	3.5
guided	great	remarkable or out of the ordinary in degree or magnitude or effect	physical size of something or someone	DOI:10.17227/01234870.32FOLIOS125.140	0.0	0.0	0.0	4.2		538.6	4.48	2.18	3.37
