Annotation,Word,definitions,BM_original,Source,VVAA,A1,A2,precission_definitions_mean,ic_precission_definitions_mean,familiarity_definitions_mean,imageability_definitions_mean,concreteness_definitions_mean,physicality_definitions_mean,nb17_cosines_definitions_mean,w2v_cosines_definitions_mean
guided,mark,an indication of damage,to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,0,,,7.33,0.6,487,4.29,2.58,3.23,0.1853325497,0.108898174
guided,mark,a marking that consists of lines that cross each other,to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,0,,,4.86,2.84,402.75,4.6,4.24,3.48,0.2337509152,0.2742665531
guided,mark,something that exactly succeeds in achieving its goal,to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,0,,,3.83,0.73,453.2,4.64,2.33,3.54,0.1164753035,0.1510275558
guided,mark,attach a tag or label to,to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,0,,,4.2,4.74,537.67,3.95,4.01,2.8,0.268834504,0.1091671772
guided,mark,designate as if by a mark,to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,0,,,4.75,3.35,560,5.07,3.68,2.18,0.2597151399,0.1157648489
guided,mark,"be a distinctive feature, attribute, or trait; sometimes in a very positive sense",to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,0,,,4.46,0,459.2,4.85,2.35,3.88,0.1078378734,0.09170010012
guided,mark,mark by some ceremony or observation,to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,0,,,4.2,,514.67,5.88,3.3,2.9,0.08165629208,0.1117462367
guided,mark,make or leave a mark on,to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,1,,,4.6,0,494.33,6.57,3.14,2.25,0.1135204881,0.1985556856
guided,mark,to accuse or condemn or openly or formally or brand as disgraceful,to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,0,,,4.36,3.06,403.67,4.64,2.14,2.76,0.1056137212,0.07693744389
guided,mark,notice or perceive,to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,0,,,3.33,4.14,537,5.92,2.51,3.17,0.1279676966,0.07801396586
guided,mark,mark with a scar,to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,0,,,7,9.13,539,6.26,4.47,1.9,0.2740771174,0.1339761615
guided,mark,make small marks into the surface of,to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,1,,,6,4.01,486.75,5.78,3.59,2.83,0.07485309926,0.1284289826
guided,mark,establish as the highest level or best performance,to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,0,,0,3.71,0,537.6,5.62,2.44,2.72,0.06988704931,0.1882952511
guided,mark,make underscoring marks,to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,0,,1,5,2.97,526.33,5.66,3.44,2.8,0.1616075709,0.1883638352
guided,mark,remove from a list,to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,0,,1,4.67,0,411,6.13,3.78,2.91,0.06031572446,0.09099348914
guided,mark,put a check mark on or near or next to,to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,0,,1,4.5,8.81,551.2,5.74,3.23,3,0.08853397425,0.1578958686
guided,mark,"assign a grade or rank to, according to one's evaluation",to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,0,,1,3.5,4.28,516.75,5.15,2.89,3.23,0.1228656812,0.1045846525
guided,mark,insert punctuation marks into,to leave a mark on a surface by pressing an object onto it,https://doi.org/10.1075/msw.22016.sme,0,,1,4.67,4.57,555,5.8,3.51,3.21,0.2079834379,0.06166403648
guided,great,a person who has achieved distinction and honor in some field,physical size of something or someone,DOI:10.17227/01234870.32FOLIOS125.140,0,0,0,4.9,0.23,495,5.45,3.18,3.44,0.0474042993,0.1369657725
guided,great,relatively large in size or number or extent; larger than others of its kind,physical size of something or someone,DOI:10.17227/01234870.32FOLIOS125.140,1,1,1,3.82,,528,5.04,2.46,3.44,0.2161532543,0.1721133214
guided,great,of major significance or importance,physical size of something or someone,DOI:10.17227/01234870.32FOLIOS125.140,0,0,0,5.5,,528.67,4.7,1.86,3.5,0.2105951756,0.2453775356
guided,great,remarkable or out of the ordinary in degree or magnitude or effect,physical size of something or someone,DOI:10.17227/01234870.32FOLIOS125.140,0,0,0,4.2,,538.6,4.48,2.18,3.37,0.1726735097,0.1740767159
guided,great,very good,physical size of something or someone,DOI:10.17227/01234870.32FOLIOS125.140,0,0,0,0,,552,6.68,1.64,1.55,0.5914800763,0.7291510105
guided,great,uppercase,physical size of something or someone,DOI:10.17227/01234870.32FOLIOS125.140,0,0,0,0,,274,6.91,3.65,4.6,0.1140807867,0.01610067859
guided,great,in an advanced stage of pregnancy,physical size of something or someone,DOI:10.17227/01234870.32FOLIOS125.140,0,0,1,5,,507,4.23,3.59,2.36,0.05009170125,0.05733294024
guided,power,possession of controlling influence,physical force or strength,DOI:10.17227/01234870.32FOLIOS125.140,0,0,0,3,2.3,516,4.81,2.54,3.34,0.2865676433,0.2265750617
guided,power,(physics) the rate of doing work; measured in watts (= joules/second),physical force or strength,DOI:10.17227/01234870.32FOLIOS125.140,0,1,1,2.57,0.8,479,5.47,3.13,3.59,0.1421053924,0.1494433191
guided,power,possession of the qualities (especially mental qualities) required to do something or get something done,physical force or strength,DOI:10.17227/01234870.32FOLIOS125.140,0,0,0,3.2,0.45,493.75,5.14,2.07,3.89,0.07271745317,0.07922375053
guided,power,(of a government or government official) holding an office means being in power,physical force or strength,DOI:10.17227/01234870.32FOLIOS125.140,0,0,0,6.09,1.28,436.5,5.64,3.16,3.42,0.1262685731,0.1310984085
guided,power,one possessing or exercising power or influence or authority,physical force or strength,DOI:10.17227/01234870.32FOLIOS125.140,0,0,0,5.12,2.02,465,5.16,2.51,3.05,0.2779078126,0.2193985805
guided,power,a mathematical notation indicating the number of times a quantity is multiplied by itself,physical force or strength,DOI:10.17227/01234870.32FOLIOS125.140,0,?,0,4.64,0.6,517.14,4.38,3.06,3.38,0.04287077859,0.07664916775
guided,power,physical strength,physical force or strength,DOI:10.17227/01234870.32FOLIOS125.140,1,1,1,3,3.89,547,4.22,3.14,1.93,0.3466631547,0.2415810004
guided,power,a state powerful enough to influence events throughout the world,physical force or strength,DOI:10.17227/01234870.32FOLIOS125.140,0,0,0,4.5,0.95,490.71,4.46,2.64,2.74,0.1632738199,0.1698483941
guided,power,a very wealthy or powerful businessman,physical force or strength,DOI:10.17227/01234870.32FOLIOS125.140,0,0,0,3.83,3.01,533.67,3.9,3.12,3.24,0.1664920974,0.1568563351
guided,power,supply the force or power for the functioning of,physical force or strength,DOI:10.17227/01234870.32FOLIOS125.140,0,1,1,5.5,,440.75,4.76,2.82,3.85,0.3076996605,0.2747329225
guided,tired,lose interest or become bored with something or somebody,need to rest or sleep,DOI:10.17227/01234870.32FOLIOS125.140,,0,0,4.57,0.9,491.67,4.47,2.22,2.87,0.1523195753,0.2643304827
guided,tired,exhaust or get tired through overuse or great strain or stress,need to rest or sleep,DOI:10.17227/01234870.32FOLIOS125.140,,1,1,4.9,0,478.86,4.41,2.57,2.81,0.160895433,0.2138354058
guided,tired,deplete,need to rest or sleep,DOI:10.17227/01234870.32FOLIOS125.140,,0,0,4,8.19,462,5.55,2.89,2.5,0.1683643311,0.09068126231
guided,tired,cause to be bored,need to rest or sleep,DOI:10.17227/01234870.32FOLIOS125.140,,0,0,0,3.33,498.5,3.94,2.28,2,0.318556725,0.343219284
guided,tired,depleted of strength or energy,need to rest or sleep,DOI:10.17227/01234870.32FOLIOS125.140,,0,1,6,,392,5.7,3.04,3.22,0.2025132577,0.172192509
guided,tired,repeated too often; overfamiliar through overuse,need to rest or sleep,DOI:10.17227/01234870.32FOLIOS125.140,,0,0,0.67,,513.6,4.05,2.6,3.38,0.1679653153,0.2448541299
guided,year,a period of time containing 365 (or 366) days,"indicates a long period of time encompassing several calendar years. The most basic meaning of year is the cyclical period of time in which the earth completes a full revolution around the sun, consisting of 365 or 366 days",DOI:10.1080/10926480709336752,1,1,1,6,1.1,483.25,5.72,3.43,3.1,0.3328057183,0.3160006194
guided,year,a period of time occupying a regular part of a calendar year that is used for some particular activity,"indicates a long period of time encompassing several calendar years. The most basic meaning of year is the cyclical period of time in which the earth completes a full revolution around the sun, consisting of 365 or 366 days",DOI:10.1080/10926480709336752,1,0,0,5.14,0.86,475,4.69,3.06,3.25,0.183171782,0.1730363141
guided,year,"the period of time that it takes for a planet (as, e.g., Earth or Mars) to make a complete revolution around the sun","indicates a long period of time encompassing several calendar years. The most basic meaning of year is the cyclical period of time in which the earth completes a full revolution around the sun, consisting of 365 or 366 days",DOI:10.1080/10926480709336752,1,1,1,5.35,0.51,498.75,5.44,3.23,3.33,0.1291072631,0.1227323063
guided,year,a body of students who graduate together,"indicates a long period of time encompassing several calendar years. The most basic meaning of year is the cyclical period of time in which the earth completes a full revolution around the sun, consisting of 365 or 366 days",DOI:10.1080/10926480709336752,0,0,0,5.5,0.98,522.75,5.31,3.88,2.8,0.1419187007,0.1495719552
guided,Gandhi,daughter of Nehru who served as prime minister of India from 1966 to 1977 (1917-1984),"The proper name refers to a specific, uniquely identifiable individual in a particular historical and geographical context.",DOI:10.1080/10926480709336752,1,1,1,4.88,2.23,480.73,4.9,3.83,3.53,,0.2239070998
guided,Gandhi,political and spiritual leader during India's struggle with Great Britain for home rule; an advocate of passive resistance (1869-1948),"The proper name refers to a specific, uniquely identifiable individual in a particular historical and geographical context.",DOI:10.1080/10926480709336752,1,1,1,5.31,1.56,483.76,4.73,2.74,3.21,,0.1566494107
guided,struggle,an energetic attempt to achieve something,"The basic meaning of the verb to struggle is to use one.s physical strength against someone or something,",DOI:10.1080/10926480709336752,0,0,0,2.5,0.6,465,4.3,2.29,3.95,0.1254113419,0.1767022945
guided,struggle,an open clash between two opposing groups (or individuals); --Thomas Paine,"The basic meaning of the verb to struggle is to use one.s physical strength against someone or something,",DOI:10.1080/10926480709336752,0,0,1,4.73,0.46,479.83,5.46,3.33,3.57,0.1366677595,0.1417156968
guided,struggle,strenuous effort,"The basic meaning of the verb to struggle is to use one.s physical strength against someone or something,",DOI:10.1080/10926480709336752,0,0,0,3.5,,541,5.06,2.44,3.55,0.310795933,0.2282373421
guided,struggle,make a strenuous or labored effort,"The basic meaning of the verb to struggle is to use one.s physical strength against someone or something,",DOI:10.1080/10926480709336752,0,0,0,5.17,3.69,515.25,4.86,2.54,3.44,0.2364706591,0.2269405611
guided,struggle,to exert strenuous effort against opposition,"The basic meaning of the verb to struggle is to use one.s physical strength against someone or something,",DOI:10.1080/10926480709336752,1,0,0,3.25,2.55,456.5,5.24,2.39,3.77,0.2870965004,0.2369531114
guided,struggle,"climb awkwardly, as if by scrambling","The basic meaning of the verb to struggle is to use one.s physical strength against someone or something,",DOI:10.1080/10926480709336752,0,1,1,0.6,9.28,428.25,5.19,2.95,3.66,0.1795668999,0.2395980358
guided,struggle,be engaged in a fight; carry on a fight,"The basic meaning of the verb to struggle is to use one.s physical strength against someone or something,",DOI:10.1080/10926480709336752,0,1,1,4.11,2.44,503,4.81,3.7,2.9,0.4118411932,0.321923811
guided,convince,"make (someone) agree, understand, or realize the truth or validity of something",.convince. means to persuade a large number of people to change their views about [something],DOI:10.1080/10926480709336752,1,1,1,4.67,0,493.42,5.81,2.33,3.9,0.1987086507,0.2827435145
guided,Indians,a member of the race of people living in America when Europeans arrived,inhabitants of contemporary India,DOI:10.1080/10926480709336752,0,1,1,4.56,1.26,477.71,4.39,3.63,2.55,,0.1534368606
guided,Indians,a native or inhabitant of India,inhabitants of contemporary India,DOI:10.1080/10926480709336752,1,1,1,6,2.43,500,4.14,3.18,2.36,,0.2230569969
guided,Indians,any of the languages spoken by Amerindians,inhabitants of contemporary India,DOI:10.1080/10926480709336752,0,1,1,1.4,2.9,496,5.65,2.82,3.26,,0.2126142494
guided,fit,a display of bad temper,The adjective fit has a different meaning to do with being healthy and physically strong.,DOI:10.1080/10926480709336752,0,0,1,5.75,0.96,467.67,5.65,2.7,1.86,0.073722704,0.1428158929
guided,fit,a sudden uncontrollable attack,The adjective fit has a different meaning to do with being healthy and physically strong.,DOI:10.1080/10926480709336752,0,1,1,4.25,4.43,538.67,3.72,2.63,2.61,0.05415353458,0.04597868398
guided,fit,the manner in which something fits,The adjective fit has a different meaning to do with being healthy and physically strong.,DOI:10.1080/10926480709336752,0,0,,5,5.69,554,3.78,2.05,3.67,0.1318547949,0.1371264309
guided,fit,a sudden flurry of activity (often for no obvious reason),The adjective fit has a different meaning to do with being healthy and physically strong.,DOI:10.1080/10926480709336752,0,0,0,3.25,0.4,508.75,4.93,2.44,3.31,0.002294038578,0.06607734102
guided,fit,be agreeable or acceptable to,The adjective fit has a different meaning to do with being healthy and physically strong.,DOI:10.1080/10926480709336752,0,0,0,2.25,3.93,452,5.21,2,3.14,0.2919794992,0.2694266438
guided,fit,be the right size or shape; fit correctly or as desired,The adjective fit has a different meaning to do with being healthy and physically strong.,DOI:10.1080/10926480709336752,0,1,1,3.89,0,554.86,4.68,2.74,3.57,0.2710239545,0.2621210843
guided,fit,satisfy a condition or restriction,The adjective fit has a different meaning to do with being healthy and physically strong.,DOI:10.1080/10926480709336752,0,0,0,6.6,0,381.33,4.98,2.15,3.33,0.2106151332,0.1891116922
guided,fit,make fit,The adjective fit has a different meaning to do with being healthy and physically strong.,DOI:10.1080/10926480709336752,0,0,,2,0,493.5,6.34,2.68,3.55,0.2265060991,0.2721092403
guided,fit,insert or adjust several objects or people,The adjective fit has a different meaning to do with being healthy and physically strong.,DOI:10.1080/10926480709336752,0,1,,3.71,0,499,4.57,3.4,4.03,0.1424734375,0.1657563377
guided,fit,"be compatible, similar or consistent; coincide in their characteristics",The adjective fit has a different meaning to do with being healthy and physically strong.,DOI:10.1080/10926480709336752,0,0,0,2.88,4.7,506.86,4.48,2.32,3.57,0.27105093,0.2548528254
guided,fit,conform to some shape or size,The adjective fit has a different meaning to do with being healthy and physically strong.,DOI:10.1080/10926480709336752,0,0,1,2.6,0,476,6.02,2.7,2.53,0.4105215669,0.4041091601
guided,fit,provide with (something) usually for a specific purpose,The adjective fit has a different meaning to do with being healthy and physically strong.,DOI:10.1080/10926480709336752,0,0,1,4.6,5.16,502.57,4.97,2.06,3.28,0.1279396868,0.1642742179
guided,fit,make correspond or harmonize,The adjective fit has a different meaning to do with being healthy and physically strong.,DOI:10.1080/10926480709336752,0,0,0,3.25,0.97,530.67,5.82,2.67,2.43,0.3208582054,0.2359885971
guided,fit,meeting adequate standards for a purpose,The adjective fit has a different meaning to do with being healthy and physically strong.,DOI:10.1080/10926480709336752,0,0,0,2.6,,486.5,4.36,2.16,1.94,0.2068190216,0.1517800847
guided,fit,(usually followed by `to' or `for') on the point of or strongly disposed,The adjective fit has a different meaning to do with being healthy and physically strong.,DOI:10.1080/10926480709336752,0,0,0,3,,505.82,5.42,2.51,2.86,0.04085576911,0.08823545224
guided,fit,physically and mentally sound or healthy,The adjective fit has a different meaning to do with being healthy and physically strong.,DOI:10.1080/10926480709336752,1,0,1,1.8,,484.25,4.56,2.86,2.85,0.197118191,0.2632334232
guided,wear,impairment resulting from long use,"The basic meaning of wear in wear the mantle is defined as the first sense of the word in the Macmillan dictionary as follows: .to have something on your body as clothing, decoration or protection..",DOI:10.1080/10926480709336752,0,0,1,2.5,0.6,461.25,4.31,2.64,3.12,0.1127011818,0.09283059463
guided,wear,a covering designed to be worn on a person's body,"The basic meaning of wear in wear the mantle is defined as the first sense of the word in the Macmillan dictionary as follows: .to have something on your body as clothing, decoration or protection..",DOI:10.1080/10926480709336752,0,1,1,3.78,0,491,5.9,3.92,2.85,0.1858009573,0.2107832357
guided,wear,the act of having on your person as a covering or adornment,"The basic meaning of wear in wear the mantle is defined as the first sense of the word in the Macmillan dictionary as follows: .to have something on your body as clothing, decoration or protection..",DOI:10.1080/10926480709336752,1,1,1,5.44,0.5,533.25,5.22,3.37,3.16,0.1236878834,0.1695744675
guided,wear,be dressed in,"The basic meaning of wear in wear the mantle is defined as the first sense of the word in the Macmillan dictionary as follows: .to have something on your body as clothing, decoration or protection..",DOI:10.1080/10926480709336752,0,0,1,2,0,444,4.27,3.41,3,0.5230169296,0.4738818109
guided,wear,have on one's person,"The basic meaning of wear in wear the mantle is defined as the first sense of the word in the Macmillan dictionary as follows: .to have something on your body as clothing, decoration or protection..",DOI:10.1080/10926480709336752,0,0,1,4.75,0,452,6.37,4.34,3.33,0.02694468852,0.09382946417
guided,wear,have in one's aspect; wear an expression of one's attitude or personality,"The basic meaning of wear in wear the mantle is defined as the first sense of the word in the Macmillan dictionary as follows: .to have something on your body as clothing, decoration or protection..",DOI:10.1080/10926480709336752,0,0,0,4.6,0,465.9,5.16,2.85,3.34,0.0472890862,0.1436681462
guided,wear,deteriorate through use or stress,"The basic meaning of wear in wear the mantle is defined as the first sense of the word in the Macmillan dictionary as follows: .to have something on your body as clothing, decoration or protection..",DOI:10.1080/10926480709336752,0,1,1,5,9.47,539,4.6,2.8,3.25,0.1856230001,0.2000111341
guided,wear,have or show an appearance of,"The basic meaning of wear in wear the mantle is defined as the first sense of the word in the Macmillan dictionary as follows: .to have something on your body as clothing, decoration or protection..",DOI:10.1080/10926480709336752,0,0,,4.8,0,555,3.19,3.27,2.9,0.1350340694,0.1643366367
guided,wear,last and be usable,"The basic meaning of wear in wear the mantle is defined as the first sense of the word in the Macmillan dictionary as follows: .to have something on your body as clothing, decoration or protection..",DOI:10.1080/10926480709336752,0,,,2,0,488,3.76,2.52,2.4,0.05272895284,0.08039182425
guided,wear,go to pieces,"The basic meaning of wear in wear the mantle is defined as the first sense of the word in the Macmillan dictionary as follows: .to have something on your body as clothing, decoration or protection..",DOI:10.1080/10926480709336752,0,0,1,1,0,307.5,3.14,3.64,2.14,0.1340887994,0.1863938048
guided,wear,exhaust or get tired through overuse or great strain or stress,"The basic meaning of wear in wear the mantle is defined as the first sense of the word in the Macmillan dictionary as follows: .to have something on your body as clothing, decoration or protection..",DOI:10.1080/10926480709336752,0,0,1,4.64,1.94,478.86,4.41,2.57,2.81,0.1438410291,0.1789759706
guided,wear,put clothing on one's body,"The basic meaning of wear in wear the mantle is defined as the first sense of the word in the Macmillan dictionary as follows: .to have something on your body as clothing, decoration or protection..",DOI:10.1080/10926480709336752,0,0,1,1.6,1.36,403.6,5.81,3.92,2.88,0.2233626544,0.2341605667
guided,mantle,the cloak as a symbol of authority,"old-fashioned piece of clothing now usually only worn by people in power, such as monarchs, as a symbol of their position..",DOI:10.1080/10926480709336752,1,1,1,6,1.48,490.67,3.97,3.39,3.04,0.2747711763,0.2671012829
guided,mantle,United States baseball player (1931-1997),"old-fashioned piece of clothing now usually only worn by people in power, such as monarchs, as a symbol of their position..",DOI:10.1080/10926480709336752,0,1,1,7,1.29,467.71,5.77,4.5,3.52,0.1145827649,0.05361347413
guided,mantle,the layer of the earth between the crust and the core,"old-fashioned piece of clothing now usually only worn by people in power, such as monarchs, as a symbol of their position..",DOI:10.1080/10926480709336752,0,1,1,5,0.86,460.25,4.74,4.22,2.66,0.2329476271,0.2289673947
guided,mantle,anything that covers,"old-fashioned piece of clothing now usually only worn by people in power, such as monarchs, as a symbol of their position..",DOI:10.1080/10926480709336752,0,0,0,5,6.59,524.5,4.4,2.8,2.65,0.1683720695,0.1198207177
guided,mantle,(zoology) a protective layer of epidermis in mollusks or brachiopods that secretes a substance forming the shell,"old-fashioned piece of clothing now usually only worn by people in power, such as monarchs, as a symbol of their position..",DOI:10.1080/10926480709336752,0,1,1,5.14,2.01,468.7,4.81,3.49,3.44,0.128799068,0.1286996685
guided,mantle,shelf that projects from wall above fireplace,"old-fashioned piece of clothing now usually only worn by people in power, such as monarchs, as a symbol of their position..",DOI:10.1080/10926480709336752,0,1,1,5.4,3.44,427,4.95,4.53,3.29,0.2038474558,0.09766684612
guided,mantle,hanging cloth used as a blind (especially for a window),"old-fashioned piece of clothing now usually only worn by people in power, such as monarchs, as a symbol of their position..",DOI:10.1080/10926480709336752,0,1,1,5.67,2.06,491.5,5.26,3.62,3.32,0.09804878756,0.06263738591
guided,mantle,a sleeveless garment like a cloak but shorter,"old-fashioned piece of clothing now usually only worn by people in power, such as monarchs, as a symbol of their position..",DOI:10.1080/10926480709336752,0,1,1,4.62,2.18,544.8,4.79,3.9,3.04,0.2434652656,0.1520716701
guided,mantle,"spread over a surface, like a mantle","old-fashioned piece of clothing now usually only worn by people in power, such as monarchs, as a symbol of their position..",DOI:10.1080/10926480709336752,0,1,0,5,0,551.8,5.06,3.6,3.29,0.1397562996,0.1441937586
guided,mantle,cover like a mantle,"old-fashioned piece of clothing now usually only worn by people in power, such as monarchs, as a symbol of their position..",DOI:10.1080/10926480709336752,0,1,0,7,0,577.67,4.23,3.56,2.39,0.2227531597,0.1302605048
guided,political,involving or characteristic of politics or parties or politicians; - Daniel Goleman,,DOI:10.1080/10926480709336752,1,0,1,6.22,,514.62,4.09,2.98,3.18,0.3922882304,0.2690409645
guided,political,of or relating to your views about social relationships involving authority or power,,DOI:10.1080/10926480709336752,1,1,0,4.1,,437,5.22,2.53,2.81,0.1698832948,0.1689164639
guided,political,of or relating to the profession of governing,,DOI:10.1080/10926480709336752,,0,1,4.5,,513.67,5.81,2.52,3.58,0.192755272,0.2160816093
guided,married,a person who is married,,DOI:10.1080/10926480709336752,,1,1,8.25,0.27,517.5,6.44,3.77,4.2,0.01281745732,0.1153769642
guided,married,take in marriage,,DOI:10.1080/10926480709336752,,0,1,4.67,0,545.5,3.78,2.78,2.82,0.3865988865,0.3516575843
guided,married,perform a marriage ceremony,,DOI:10.1080/10926480709336752,,1,1,5.5,8.09,539,5.44,3.05,3.91,0.3413120794,0.3341994683
guided,married,joined in matrimony,,DOI:10.1080/10926480709336752,,0,1,4.67,,270.5,5.3,2.11,2.6,0.4862107486,0.3587909192
guided,married,of or relating to the state of marriage,,DOI:10.1080/10926480709336752,,0,0,6.25,,526,4.29,3.02,2.39,0.2692749097,0.2291437108
guided,let,a brutal terrorist group active in Kashmir; fights against India...,,DOI:10.1080/10926480709336752,,,1,5.14,0.26,490.08,4.65,3.27,2.8,-0.002644010034,0.08105673858
guided,let,a serve that strikes the net before falling into the receiver's ...,,DOI:10.1080/10926480709336752,1,,1,4.77,1.67,495.73,4.24,3.89,2.93,0.08551073695,0.133457683
guided,let,make it possible through a specific action or lack of action for...,,DOI:10.1080/10926480709336752,0,,1,4.45,0,519.5,4.23,2.22,2.53,0.1188604287,0.1945069702
guided,let,actively cause something to happen,,DOI:10.1080/10926480709336752,0,,0,1,0,477.5,3.52,2.11,2.41,0.129110679,0.220623102
guided,let,"consent to, give permission",,DOI:10.1080/10926480709336752,0,,1,4.67,5.47,535.5,4.43,2.39,3.33,0.3794051707,0.2646561116
guided,let,cause to move; cause to be in a certain position or condition,,DOI:10.1080/10926480709336752,1,,1,3.5,0,474.43,3.37,2.43,3.02,0.1458522106,0.1699940649
guided,let,leave unchanged,,DOI:10.1080/10926480709336752,0,,0,0.5,7.58,485,5.22,2.4,2.28,0.2617553268,0.2230595099
guided,let,grant use or occupation of under a term of contract,,DOI:10.1080/10926480709336752,0,,1,7,,474.2,5.89,3.39,3.32,0.1440392602,0.1061070979
guided,alone,isolated from others,,DOI:10.1080/10926480709336752,0,,1,2,,480,4.91,2.74,2.53,0.2830851153,0.2700039968
guided,alone,lacking companions or companionship,,DOI:10.1080/10926480709336752,0,,1,5.5,,425.33,4.9,3.1,3.87,0.1839627574,0.1815487444
guided,alone,exclusive of anyone or anything else,,DOI:10.1080/10926480709336752,0,,0,4.5,,391.5,5.41,1.96,3.14,0.2183164209,0.1980150249
guided,alone,radically distinctive and without equal,,DOI:10.1080/10926480709336752,0,,0,1.33,,443.25,5.11,1.99,2.96,0.1518980106,0.1588817313
guided,alone,without any others being included or involved,,DOI:10.1080/10926480709336752,1,,,2.8,,497.25,4.57,2.11,2.84,0.1835703775,0.1933617555
guided,alone,without anybody else or anything else,,DOI:10.1080/10926480709336752,0,,1,9,,424.8,4.57,1.89,3.02,0.2733507156,0.270682627
guided,become,enter or assume a certain state or condition,,DOI:10.1080/10926480709336752,0,0,0,5,0.9,488.8,5.28,2.44,2.61,0.1503223985,0.1567204334
guided,become,undergo a change or development,,DOI:10.1080/10926480709336752,0,1,,4.8,2.71,437.33,4.4,2.57,3.7,0.2243515489,0.1770985524
guided,become,come into existence,,DOI:10.1080/10926480709336752,0,0,0,3,5.65,530.5,4.07,2.13,1.71,0.2608605847,0.2168783173
guided,become,enhance the appearance of,,DOI:10.1080/10926480709336752,1,0,1,4.5,5.15,351,3.45,2.39,3.4,0.1850179881,0.1088495739
guided,premier,the person who holds the position of head of the government in the United Kingdom,,DOI:10.1080/10926480709336752,1,0,1,4.89,0.22,486.29,5.33,3.73,2.85,0.1582363632,0.1223109593
guided,premier,the person who is head of state (in several countries),,DOI:10.1080/10926480709336752,0,1,1,4.88,0.6,442.86,5.52,4.03,3.29,0.1288584184,0.1103435196
guided,premier,be performed for the first time,,DOI:10.1080/10926480709336752,0,1,1,3,0,584,4.19,2.92,3.21,0.1698551873,0.1027851428
guided,premier,perform a work for the first time,,DOI:10.1080/10926480709336752,0,1,1,3.8,0,578.75,4.87,3.1,3.3,0.1153920321,0.07566975802
guided,premier,first in rank or degree,,DOI:10.1080/10926480709336752,0,0,0,5.2,,572.33,3.33,2.87,3.55,0.2017925655,0.105946516
guided,premier,preceding all others in time,,DOI:10.1080/10926480709336752,0,1,1,3.5,,519.33,4.31,2.88,2.57,0.003986367335,0.005249069383
guided,jungle,a location marked by an intense competition and struggle for survival,"an equatorial forest area with luxuriant vegetation, often almost impenetrable",DOI:10.2478/exell-2020-0007,0,0,0,4.44,0.27,422,4.2,3.05,2.45,0.05559104365,0.08220500918
guided,jungle,a place where hoboes camp,"an equatorial forest area with luxuriant vegetation, often almost impenetrable",DOI:10.2478/exell-2020-0007,0,1,1,5.5,0.3,538,6.55,3.92,3.36,0.135756053,0.1871428291
guided,jungle,an impenetrable equatorial forest,"an equatorial forest area with luxuriant vegetation, often almost impenetrable",DOI:10.2478/exell-2020-0007,0,1,1,2.75,0.6,527.33,4.07,3.32,2.58,0.3644137283,0.3616871486
guided,swarm,a moving crowd,a swarm of bees or other insects is a large group of them flying together,DOI:10.2478/exell-2020-0008,0,0,1,4.33,0.6,527,5.06,4.17,2.3,0.349685438,0.2332940139
guided,swarm,a group of many things in the air or on the ground,a swarm of bees or other insects is a large group of them flying together,DOI:10.2478/exell-2020-0008,0,1,1,3.89,0.24,492,4.4,3.71,4.14,0.1442491584,0.1486579493
guided,swarm,"be teeming, be abuzz",a swarm of bees or other insects is a large group of them flying together,DOI:10.2478/exell-2020-0008,0,0,,0.5,3.58,562.33,4.64,,3.13,0.4614918232,0.3396141231
guided,swarm,move in large numbers,a swarm of bees or other insects is a large group of them flying together,DOI:10.2478/exell-2020-0008,0,0,1,1.75,0,531,5.43,3.31,2.64,0.1370764896,0.1748253256
guided,plague,a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal,any serious disease that spreads quickly to a lot of people and usually ends in death,DOI:10.2478/exell-2020-0009,0,1,1,4.67,2.28,445.35,5.21,3.56,2.99,0.2117637739,0.2166700228
guided,plague,any epidemic disease with a high death rate,any serious disease that spreads quickly to a lot of people and usually ends in death,DOI:10.2478/exell-2020-0009,1,1,1,4.43,2.73,529.8,3.88,3.27,3.62,0.2762877007,0.2256197929
